Date,Weight,BMI,Fat
05/10/2016,76.4,24.4,18.9
05/10/2016,76.4,24.4,16.8
06/10/2016,76.6,24.5,16.6
07/10/2016,76.6,24.5,16.7
08/10/2016,77.3,24.7,16.7
08/10/2016,77.0,24.6,15.5
08/10/2016,77.0,24.6,15.7
10/10/2016,76.6,24.5,18.2
11/10/2016,75.7,24.2,17.9
12/10/2016,76.1,24.3,17.3
12/10/2016,76.1,24.3,17.1
13/10/2016,75.9,24.2,16.3
13/10/2016,75.9,24.2,15.8
14/10/2016,76.3,24.3,15.4
14/10/2016,76.3,24.4,15.4
15/10/2016,76.9,24.5,14.6
16/10/2016,76.5,24.4,16.1
17/10/2016,76.5,24.4,18.4
18/10/2016,75.9,24.2,18.8
19/10/2016,75.7,24.2,18.5
20/10/2016,76.3,24.4,16.5
21/10/2016,76.4,24.4,16.4
21/10/2016,76.3,24.3,16.0
22/10/2016,76.2,24.3,15.1
24/10/2016,75.9,24.2,17.2
25/10/2016,76.1,24.3,16.0
26/10/2016,76.1,24.3,16.0
26/10/2016,76.3,24.3,16.2
27/10/2016,75.3,24.0,17.0
28/10/2016,76.5,24.4,15.1
28/10/2016,76.5,24.4,14.7
29/10/2016,75.7,24.1,13.2
30/10/2016,76.7,24.5,14.1
30/10/2016,76.7,24.5,13.8
31/10/2016,76.6,24.4,15.1
01/11/2016,76.3,24.3,16.1
02/11/2016,77.0,24.6,16.8
02/11/2016,77.1,24.6,16.0
03/11/2016,76.5,24.4,17.3
05/11/2016,76.1,24.3,13.5
06/11/2016,76.5,24.4,16.7
08/11/2016,76.8,24.5,14.5
09/11/2016,76.1,24.3,17.1
09/11/2016,76.5,24.4,17.4
09/11/2016,76.6,24.4,16.8
10/11/2016,76.0,24.3,16.6
11/11/2016,76.3,24.3,16.2
14/11/2016,77.9,24.9,16.5
15/11/2016,77.3,24.7,16.4
16/11/2016,76.2,24.3,16.4
17/11/2016,76.3,24.4,15.9
18/11/2016,77.5,24.7,14.6
19/11/2016,78.2,25.0,17.6
21/11/2016,76.5,24.4,17.5
22/11/2016,77.1,24.6,18.2
22/11/2016,77.0,24.6,18.2
23/11/2016,76.1,24.3,18.8
24/11/2016,75.9,24.2,16.7
25/11/2016,75.5,24.1,16.2
26/11/2016,76.4,24.4,15.1
26/11/2016,76.4,24.4,15.2
27/11/2016,76.7,24.5,16.4
27/11/2016,76.7,24.5,16.2
28/11/2016,77.4,24.7,15.0
30/11/2016,76.3,24.4,17.9
01/12/2016,76.4,24.4,17.5
02/12/2016,76.7,24.5,18.5
05/12/2016,77.4,24.7,18.1
06/12/2016,77.0,24.6,17.6
06/12/2016,77.0,24.6,17.7
07/12/2016,77.4,24.7,17.3
12/12/2016,77.3,24.7,17.5
13/12/2016,76.8,24.5,18.8
15/12/2016,77.1,24.6,17.1
27/12/2016,78.5,25.0,19.3
27/12/2016,78.5,25.1,18.8
28/12/2016,77.5,24.7,18.8
28/12/2016,77.9,24.9,19.1
28/12/2016,77.8,24.8,18.8
29/12/2016,77.5,24.7,18.6
29/12/2016,77.9,24.9,19.1
29/12/2016,77.9,24.9,19.0
30/12/2016,78.7,25.1,17.0
30/12/2016,78.7,25.1,17.3
02/01/2017,79.1,25.2,18.5
02/01/2017,79.1,25.2,18.1
03/01/2017,78.0,24.9,18.4
03/01/2017,78.4,25.0,17.8
03/01/2017,78.4,25.0,18.1
03/01/2017,78.4,25.0,17.7
05/01/2017,78.4,25.0,16.9
05/01/2017,78.5,25.0,16.2
06/01/2017,78.7,25.1,18.5
06/01/2017,78.8,25.2,18.2
07/01/2017,77.9,24.9,18.9
07/01/2017,78.0,24.9,18.7
09/01/2017,78.1,24.9,18.9
09/01/2017,78.2,25.0,18.5
10/01/2017,77.9,24.9,19.0
10/01/2017,77.9,24.9,18.5
11/01/2017,77.8,24.8,17.5
11/01/2017,78.2,24.9,17.6
11/01/2017,78.2,25.0,17.2
11/01/2017,78.2,25.0,17.7
12/01/2017,78.0,24.9,18.6
12/01/2017,78.0,24.9,18.5
13/01/2017,77.8,24.8,17.9
13/01/2017,77.8,24.8,18.1
14/01/2017,78.2,24.9,17.3
14/01/2017,78.2,25.0,16.8
14/01/2017,78.6,25.1,18.2
16/01/2017,78.4,25.0,18.7
16/01/2017,78.4,25.0,18.3
17/01/2017,77.6,24.8,18.7
17/01/2017,77.6,24.8,18.3
18/01/2017,77.9,24.9,17.9
18/01/2017,77.9,24.9,18.0
19/01/2017,77.5,24.7,19.2
19/01/2017,77.6,24.8,19.7
20/01/2017,76.8,24.5,18.7
20/01/2017,77.2,24.7,18.8
20/01/2017,77.2,24.6,18.9
21/01/2017,77.3,24.7,18.5
21/01/2017,77.3,24.7,18.2
21/01/2017,77.2,24.6,18.3
23/01/2017,78.2,25.0,16.4
23/01/2017,78.1,24.9,16.9
24/01/2017,78.3,25.0,18.5
24/01/2017,78.3,25.0,18.1
26/01/2017,77.6,24.8,18.3
26/01/2017,77.6,24.8,18.2
30/01/2017,78.2,25.0,18.5
30/01/2017,78.3,25.0,18.8
31/01/2017,77.4,24.7,18.4
31/01/2017,77.4,24.7,18.0
01/02/2017,77.9,24.9,17.5
01/02/2017,78.0,24.9,17.2
02/02/2017,77.6,24.8,17.3
02/02/2017,77.6,24.8,17.4
03/02/2017,78.1,24.9,17.1
03/02/2017,78.1,24.9,17.2
04/02/2017,77.6,24.8,17.5
04/02/2017,77.7,24.8,17.3
06/02/2017,77.1,24.6,18.3
06/02/2017,77.5,24.7,18.2
06/02/2017,77.5,24.7,18.8
07/02/2017,78.1,24.9,15.6
07/02/2017,78.1,24.9,15.9
08/02/2017,77.8,24.8,18.9
08/02/2017,77.8,24.8,18.7
09/02/2017,76.8,24.5,18.8
09/02/2017,76.8,24.5,18.9
10/02/2017,77.7,24.8,19.1
10/02/2017,77.7,24.8,18.7
11/02/2017,76.5,24.4,17.6
11/02/2017,76.9,24.5,17.8
11/02/2017,76.9,24.6,17.8
13/02/2017,76.6,24.4,19.4
13/02/2017,76.6,24.5,19.5
14/02/2017,76.5,24.4,18.4
14/02/2017,76.5,24.4,18.4
15/02/2017,77.2,24.7,19.1
15/02/2017,77.2,24.6,18.5
16/02/2017,76.6,24.5,17.6
16/02/2017,76.6,24.4,17.5
17/02/2017,77.1,24.6,17.2
17/02/2017,77.1,24.6,16.8
17/02/2017,77.2,24.6,17.2
18/02/2017,76.6,24.5,15.9
18/02/2017,76.7,24.5,15.7
20/02/2017,76.8,24.5,18.8
20/02/2017,76.8,24.5,18.4
21/02/2017,77.2,24.6,14.7
21/02/2017,77.2,24.7,14.6
22/02/2017,77.6,24.8,16.2
22/02/2017,77.6,24.8,16.1
23/02/2017,76.9,24.5,16.5
23/02/2017,76.9,24.5,16.4
24/02/2017,76.6,24.4,17.0
24/02/2017,76.6,24.4,17.1
25/02/2017,76.9,24.6,16.3
25/02/2017,77.0,24.6,15.9
25/02/2017,77.0,24.6,16.4
25/02/2017,76.4,24.4,16.2
25/02/2017,76.4,24.4,16.1
27/02/2017,75.7,24.2,17.4
27/02/2017,75.8,24.2,17.7
28/02/2017,76.3,24.4,16.5
28/02/2017,76.3,24.4,17.1
01/03/2017,76.1,24.3,18.0
01/03/2017,76.1,24.3,18.3
02/03/2017,76.0,24.2,18.1
02/03/2017,75.9,24.2,18.1
02/03/2017,75.9,24.2,18.2
03/03/2017,76.2,24.3,17.8
03/03/2017,76.1,24.3,18.1
04/03/2017,75.5,24.1,17.3
04/03/2017,75.6,24.1,17.0
06/03/2017,75.8,24.2,16.0
06/03/2017,76.3,24.4,16.6
06/03/2017,76.2,24.3,16.4
07/03/2017,76.3,24.4,14.6
07/03/2017,76.4,24.4,14.6
08/03/2017,75.9,24.2,16.1
08/03/2017,76.0,24.2,15.8
08/03/2017,75.9,24.2,15.7
09/03/2017,75.5,24.1,17.4
09/03/2017,75.5,24.1,17.5
11/03/2017,75.4,24.1,15.7
11/03/2017,75.8,24.2,16.0
11/03/2017,75.8,24.2,16.4
11/03/2017,75.9,24.2,15.7
13/03/2017,76.8,24.5,15.3
13/03/2017,76.8,24.5,15.9
14/03/2017,75.7,24.2,16.8
14/03/2017,75.7,24.2,16.7
14/03/2017,75.7,24.2,16.8
15/03/2017,75.8,24.2,18.2
15/03/2017,75.8,24.2,18.3
16/03/2017,75.6,24.1,17.7
16/03/2017,75.7,24.2,17.6
17/03/2017,75.7,24.2,18.4
17/03/2017,75.8,24.2,18.0
18/03/2017,75.8,24.2,16.8
18/03/2017,75.9,24.2,16.6
20/03/2017,76.0,24.3,18.3
20/03/2017,76.2,24.3,18.2
20/03/2017,76.2,24.3,18.7
21/03/2017,76.4,24.4,15.3
21/03/2017,76.4,24.4,15.1
22/03/2017,75.8,24.2,16.9
22/03/2017,75.9,24.2,17.3
23/03/2017,75.5,24.1,18.3
23/03/2017,75.6,24.1,19.1
24/03/2017,75.5,24.1,18.5
24/03/2017,75.5,24.1,18.3
24/03/2017,75.4,24.1,17.8
25/03/2017,76.1,24.3,17.3
25/03/2017,76.1,24.3,10.2
27/03/2017,76.9,24.5,16.6
27/03/2017,76.9,24.5,16.9
28/03/2017,75.5,24.1,18.3
28/03/2017,75.5,24.1,18.2
29/03/2017,75.4,24.1,17.7
29/03/2017,75.4,24.1,17.6
29/03/2017,75.3,24.0,18.6
29/03/2017,75.3,24.0,18.1
30/03/2017,75.0,23.9,19.2
30/03/2017,74.9,23.9,19.5
31/03/2017,75.1,24.0,18.2
31/03/2017,75.1,24.0,18.5
01/04/2017,75.7,24.2,16.9
03/04/2017,76.2,24.3,14.9
03/04/2017,76.5,24.4,14.4
03/04/2017,76.6,24.4,14.8
03/04/2017,76.5,24.4,15.1
04/04/2017,75.6,24.1,17.5
04/04/2017,75.7,24.1,17.8
04/04/2017,75.7,24.2,17.6
05/04/2017,75.6,24.1,17.7
05/04/2017,75.7,24.1,17.5
06/04/2017,75.1,24.0,18.6
06/04/2017,75.1,24.0,18.5
18/04/2017,77.0,24.6,18.6
18/04/2017,76.9,24.5,18.3
19/04/2017,77.4,24.7,17.9
19/04/2017,77.4,24.7,17.9
20/04/2017,77.2,24.6,17.4
20/04/2017,77.3,24.7,16.9
21/04/2017,78.2,25.0,15.7
21/04/2017,78.3,25.0,14.8
22/04/2017,77.8,24.8,16.9
22/04/2017,77.7,24.8,16.5
24/04/2017,78.7,25.1,17.4
24/04/2017,78.7,25.1,16.8
25/04/2017,78.6,25.1,17.6
26/04/2017,78.3,25.0,18.6
26/04/2017,78.3,25.0,18.6
27/04/2017,77.7,24.8,19.3
27/04/2017,77.7,24.8,19.9
28/04/2017,77.0,24.6,20.0
28/04/2017,77.1,24.6,19.8
29/04/2017,77.9,24.9,19.0
30/04/2017,78.0,24.9,17.7
30/04/2017,78.0,24.9,17.1
01/05/2017,78.3,25.0,19.1
01/05/2017,78.4,25.0,19.0
02/05/2017,78.4,25.0,19.5
03/05/2017,78.0,24.9,19.3
03/05/2017,78.1,24.9,19.4
04/05/2017,77.6,24.8,18.0
04/05/2017,77.6,24.8,18.1
05/05/2017,77.7,24.8,17.9
05/05/2017,77.8,24.8,17.5
08/05/2017,79.9,25.5,15.5
09/05/2017,78.9,25.2,18.6
09/05/2017,78.9,25.2,18.2
10/05/2017,78.5,25.1,19.8
10/05/2017,78.5,25.1,19.7
11/05/2017,77.9,24.9,18.5
11/05/2017,78.0,24.9,18.0
11/05/2017,78.0,24.9,18.2
12/05/2017,78.1,24.9,21.2
12/05/2017,78.0,24.9,20.5
13/05/2017,77.2,24.6,19.6
13/05/2017,77.2,24.6,19.5
15/05/2017,78.2,25.0,18.1
15/05/2017,78.3,25.0,17.7
16/05/2017,77.5,24.7,19.4
16/05/2017,77.6,24.8,19.2
17/05/2017,78.7,25.1,16.6
18/05/2017,78.1,24.9,18.3
18/05/2017,78.2,24.9,18.6
19/05/2017,78.9,25.2,16.6
19/05/2017,79.0,25.2,16.2
20/05/2017,78.2,25.0,18.0
21/05/2017,78.7,25.1,17.0
22/05/2017,79.1,25.2,18.9
22/05/2017,79.1,25.2,19.0
23/05/2017,77.6,24.8,19.8
23/05/2017,77.7,24.8,19.7
24/05/2017,77.8,24.8,19.1
24/05/2017,77.9,24.9,18.8
24/05/2017,77.9,24.9,18.5
25/05/2017,78.2,24.9,18.2
25/05/2017,78.1,24.9,17.7
26/05/2017,77.8,24.8,16.7
26/05/2017,77.8,24.8,16.7
27/05/2017,77.6,24.8,19.1
27/05/2017,77.6,24.8,19.2
29/05/2017,78.7,25.1,17.8
29/05/2017,78.8,25.1,17.5
30/05/2017,78.6,25.1,16.6
30/05/2017,78.6,25.1,16.7
31/05/2017,78.0,24.9,17.9
01/06/2017,77.2,24.6,19.8
02/06/2017,77.7,24.8,18.8
04/06/2017,77.9,24.9,15.3
06/06/2017,77.6,24.8,18.6
07/06/2017,77.6,24.8,19.7
11/06/2017,77.4,24.7,19.1
11/06/2017,76.8,24.5,15.1
12/06/2017,77.1,24.6,20.2
14/06/2017,78.3,25.0,17.4
16/06/2017,77.7,24.8,16.5
19/06/2017,78.7,25.1,16.9
20/06/2017,77.7,24.8,18.1
20/06/2017,77.7,24.8,18.0
21/06/2017,78.9,25.2,16.4
21/06/2017,78.9,25.2,15.6
22/06/2017,77.9,24.9,17.2
23/06/2017,78.3,25.0,17.5
23/06/2017,78.3,25.0,17.6
26/06/2017,78.0,24.9,17.7
28/06/2017,78.1,24.9,17.5
28/06/2017,78.1,24.9,17.8
29/06/2017,78.3,25.0,19.4
03/07/2017,78.2,25.0,19.7
03/07/2017,78.3,25.0,19.6
05/07/2017,78.0,24.9,18.2
06/07/2017,77.6,24.8,21.0
07/07/2017,77.1,24.6,20.1
07/07/2017,77.7,24.8,20.6
07/07/2017,76.1,24.3,20.4
08/07/2017,76.7,24.5,20.6
10/07/2017,77.1,24.6,19.6
10/07/2017,77.3,24.7,19.9
11/07/2017,77.8,24.8,19.0
14/07/2017,78.0,24.9,18.8
14/07/2017,78.0,24.9,18.8
15/07/2017,78.0,24.9,18.2
17/07/2017,78.5,25.1,19.6
18/07/2017,78.6,25.1,18.9
21/07/2017,78.4,25.0,18.3
25/07/2017,78.6,25.1,19.0
26/07/2017,79.0,25.2,20.2
27/07/2017,78.7,25.1,18.9
28/07/2017,78.8,25.2,19.2
14/08/2017,79.0,25.2,18.5
14/08/2017,79.0,25.2,18.6
15/08/2017,78.3,25.0,17.5
16/08/2017,79.1,25.3,16.7
16/08/2017,79.3,25.3,16.6
17/08/2017,78.1,24.9,18.8
18/08/2017,78.1,24.9,17.8
18/08/2017,78.0,24.9,17.7
19/08/2017,77.9,24.9,16.5
19/08/2017,78.0,24.9,17.0
21/08/2017,78.4,25.0,17.5
21/08/2017,78.4,25.0,17.1
22/08/2017,79.1,25.2,16.8
23/08/2017,79.3,25.3,17.0
24/08/2017,78.4,25.0,17.2
25/08/2017,78.0,24.9,18.9
25/08/2017,78.0,24.9,19.1
26/08/2017,77.8,24.8,19.3
26/08/2017,77.8,24.8,19.1
28/08/2017,77.5,24.7,18.8
28/08/2017,77.5,24.8,18.7
29/08/2017,78.0,24.9,16.4
29/08/2017,78.0,24.9,16.2
30/08/2017,78.2,25.0,16.1
30/08/2017,78.3,25.0,16.4
31/08/2017,77.5,24.7,17.8
01/09/2017,78.2,25.0,17.5
01/09/2017,78.3,25.0,17.6
01/09/2017,78.3,25.0,18.2
02/09/2017,77.5,24.7,16.5
04/09/2017,77.0,24.6,20.5
05/09/2017,77.1,24.6,18.7
05/09/2017,77.1,24.6,19.2
06/09/2017,77.7,24.8,16.7
06/09/2017,77.7,24.8,17.3
08/09/2017,77.7,24.8,17.7
09/09/2017,77.4,24.7,18.1
09/09/2017,77.2,24.6,18.0
11/09/2017,76.6,24.5,19.5
12/09/2017,76.6,24.4,18.9
13/09/2017,77.5,24.7,17.5
14/09/2017,77.5,24.7,17.3
15/09/2017,78.1,24.9,16.8
16/09/2017,78.7,25.1,16.3
16/09/2017,78.7,25.1,15.7
18/09/2017,77.0,24.6,19.8
19/09/2017,77.2,24.6,18.9
20/09/2017,78.0,24.9,16.4
21/09/2017,77.7,24.8,16.9
22/09/2017,77.3,24.7,17.4
23/09/2017,77.6,24.8,16.0
25/09/2017,77.7,24.8,17.7
26/09/2017,77.7,24.8,13.7
27/09/2017,78.4,25.0,17.3
29/09/2017,77.6,24.8,17.6
30/09/2017,76.8,24.5,16.4
02/10/2017,77.7,24.8,18.0
03/10/2017,77.7,24.8,18.7
04/10/2017,77.5,24.7,18.5
05/10/2017,76.7,24.5,19.2
06/10/2017,77.5,24.7,18.1
07/10/2017,77.4,24.7,16.6
09/10/2017,76.2,24.3,19.2
10/10/2017,76.9,24.6,17.5
11/10/2017,77.2,24.6,17.0
12/10/2017,76.7,24.5,17.6
13/10/2017,77.0,24.6,17.0
13/10/2017,77.0,24.6,16.8
14/10/2017,76.4,24.4,16.7
17/10/2017,76.8,24.5,17.5
18/10/2017,77.0,24.6,17.2
19/10/2017,76.2,24.3,16.0
20/10/2017,77.1,24.6,16.3
21/10/2017,77.0,24.6,15.8
23/10/2017,77.4,24.7,17.4
24/10/2017,76.8,24.5,15.4
25/10/2017,76.5,24.4,17.5
26/10/2017,76.2,24.3,17.6
27/10/2017,76.6,24.4,17.1
28/10/2017,76.9,24.6,18.4
29/10/2017,78.2,25.0,18.3
29/10/2017,75.8,24.2,20.0
30/10/2017,76.7,24.5,17.6
31/10/2017,77.6,24.8,11.2
02/11/2017,77.8,24.8,15.6
06/11/2017,76.8,24.5,18.5
07/11/2017,77.0,24.6,17.1
08/11/2017,77.1,24.6,17.9
09/11/2017,76.1,24.3,19.8
10/11/2017,76.9,24.5,17.9
11/11/2017,76.3,24.4,16.8
13/11/2017,76.8,24.5,17.2
14/11/2017,76.8,24.5,17.3
16/11/2017,76.5,24.4,17.3
17/11/2017,77.4,24.7,15.5
18/11/2017,76.5,24.4,17.9
20/11/2017,76.5,24.4,18.7
21/11/2017,76.9,24.6,17.7
22/11/2017,76.8,24.5,18.4
29/11/2017,77.7,24.8,14.0
04/12/2017,77.8,24.8,19.7
05/12/2017,76.6,24.4,19.0
06/12/2017,77.5,24.7,19.2
07/12/2017,77.3,24.7,20.2
11/12/2017,77.5,24.7,21.3
12/12/2017,77.5,24.7,20.6
13/12/2017,76.9,24.5,20.8
14/12/2017,77.2,24.7,20.8
15/12/2017,77.3,24.7,18.9
16/12/2017,77.9,24.9,20.0
18/12/2017,77.5,24.8,19.3
19/12/2017,77.6,24.8,22.0
21/12/2017,78.0,24.9,19.2
23/12/2017,78.4,25.0,18.3
31/12/2017,79.2,25.3,19.8
01/01/2018,80.5,25.7,19.1
02/01/2018,79.6,25.4,20.1
03/01/2018,78.4,25.0,22.1
04/01/2018,77.5,24.7,20.9
05/01/2018,78.1,24.9,20.9
06/01/2018,78.7,25.1,20.0
08/01/2018,78.6,25.1,21.8
09/01/2018,77.5,24.7,21.0
10/01/2018,78.5,25.1,19.8
11/01/2018,78.3,25.0,20.3
11/01/2018,78.4,25.0,20.2
12/01/2018,79.3,25.3,18.5
15/01/2018,78.8,25.2,20.3
16/01/2018,78.4,25.0,19.9
17/01/2018,79.2,25.3,19.0
18/01/2018,78.7,25.1,19.0
19/01/2018,79.0,25.2,17.5
20/01/2018,78.5,25.1,19.0
22/01/2018,78.9,25.2,19.6
23/01/2018,78.6,25.1,20.6
24/01/2018,78.5,25.1,20.0
25/01/2018,78.4,25.0,19.2
26/01/2018,79.5,25.4,17.4
27/01/2018,79.8,25.5,17.2
29/01/2018,79.6,25.4,19.3
30/01/2018,79.2,25.3,20.0
31/01/2018,79.4,25.3,20.3
01/02/2018,79.1,25.3,19.9
02/02/2018,78.5,25.1,19.9
05/02/2018,78.8,25.1,19.8
05/02/2018,78.4,25.0,17.6
06/02/2018,78.5,25.1,19.7
07/02/2018,78.7,25.1,19.3
08/02/2018,78.4,25.0,19.4
09/02/2018,79.1,25.2,19.9
13/02/2018,79.6,25.4,19.2
13/02/2018,79.6,25.4,19.2
14/02/2018,80.1,25.6,19.8
15/02/2018,79.1,25.2,20.2
16/02/2018,78.4,25.0,21.8
17/02/2018,78.0,24.9,20.4
19/02/2018,79.0,25.2,18.0
19/02/2018,79.0,25.2,17.9
20/02/2018,78.7,25.1,17.2
21/02/2018,78.8,25.2,19.9
22/02/2018,78.2,25.0,19.2
23/02/2018,78.2,24.9,19.3
24/02/2018,78.0,24.9,18.6
26/02/2018,78.2,24.9,19.8
27/02/2018,77.9,24.9,21.2
28/02/2018,77.9,24.9,19.5
28/02/2018,77.9,24.9,19.6
01/03/2018,77.5,24.7,20.5
02/03/2018,77.8,24.8,19.8
03/03/2018,78.6,25.1,15.8
04/03/2018,78.8,25.2,17.5
05/03/2018,78.3,25.0,18.1
06/03/2018,78.1,24.9,18.6
07/03/2018,77.9,24.9,19.6
09/03/2018,78.0,24.9,18.7
10/03/2018,77.5,24.8,19.2
12/03/2018,77.8,24.8,18.7
